season,event_code,league,zone_name,group_name,team_id,team_name,college_name,player_rank,player_score
2025,2025RMUC,RMUC,南部赛区,A,179,华南虎,华南理工大学,3,3
2025,2025RMUC,RMUC,南部赛区,A,726,悍匠,深圳技术大学,14,1
2025,2025RMUC,RMUC,南部赛区,A,76,RPS,中国石油大学（华东）,1,3
2025,2025RMUC,RMUC,南部赛区,A,38,Evolution,桂林电子科技大学,10,2
2025,2025RMUC,RMUC,南部赛区,A,42,DreamTeam,北方工业大学,4,3
2025,2025RMUC,RMUC,南部赛区,A,453,DynamicX,广东工业大学,2,3
2025,2025RMUC,RMUC,南部赛区,A,178,群星,桂林理工大学,12,1
2025,2025RMUC,RMUC,南部赛区,A,1513,野狼,广州城市理工学院,9,2
2025,2025RMUC,RMUC,南部赛区,A,18,奇点,仲恺农业工程学院,11,2
2025,2025RMUC,RMUC,南部赛区,A,2188,GIRT,桂林信息科技学院,6,3
2025,2025RMUC,RMUC,南部赛区,A,145,TCR,厦门大学嘉庚学院,8,3
2025,2025RMUC,RMUC,南部赛区,A,1501,星辰,北京信息科技大学,16,0
2025,2025RMUC,RMUC,南部赛区,A,164,风暴,华北科技学院,5,3
2025,2025RMUC,RMUC,南部赛区,B,159,ARTINX,南方科技大学,4,3
2025,2025RMUC,RMUC,南部赛区,B,830,RoboBraver,电子科技大学中山学院,7,3
2025,2025RMUC,RMUC,南部赛区,B,124,Taurus,华南农业大学,3,3
2025,2025RMUC,RMUC,南部赛区,B,2195,ROBOTZ,广西大学,12,1
2025,2025RMUC,RMUC,南部赛区,B,729,南工骁鹰,哈尔滨工业大学（深圳）,2,3
2025,2025RMUC,RMUC,南部赛区,B,47,ACE,东莞理工学院,9,2
2025,2025RMUC,RMUC,南部赛区,B,26,RobotPilots,深圳大学,5,3
2025,2025RMUC,RMUC,南部赛区,B,2774,苍侠,福建理工大学,11,2
2025,2025RMUC,RMUC,南部赛区,B,114,TRoMaC,太原理工大学,1,3
2025,2025RMUC,RMUC,南部赛区,B,839,风信子,成都信息工程大学,14,1
2025,2025RMUC,RMUC,南部赛区,B,96,IMCA,五邑大学,6,3
2025,2025RMUC,RMUC,南部赛区,B,2758,PnX,香港科技大学（广州）,13,1
2025,2025RMUC,RMUC,南部赛区,B,1531,毅恒,北京理工大学（珠海）,8,3
2025,2025RMUC,RMUC,南部赛区,B,688,征龙凌沧,东北大学秦皇岛分校,10,2
2025,2025RMUC,RMUC,南部赛区,B,144,Horizon,华北理工大学,15,0
2025,2025RMUC,RMUC,中部赛区,A,3071, I Hiter,哈尔滨工业大学,4,3
2025,2025RMUC,RMUC,中部赛区,A,50,Ambition,沈阳理工大学,7,3
2025,2025RMUC,RMUC,中部赛区,A,698,笃行,西安交通大学,6,3
2025,2025RMUC,RMUC,中部赛区,A,1527,云嵌,长沙理工大学,15,0
2025,2025RMUC,RMUC,中部赛区,A,195,Hello World,浙江大学,1,3
2025,2025RMUC,RMUC,中部赛区,A,781,军临,国防科技大学,12,1
2025,2025RMUC,RMUC,中部赛区,A,8,创梦之翼,哈尔滨工程大学,2,3
2025,2025RMUC,RMUC,中部赛区,A,2189,逐曦,湘潭大学,16,0
2025,2025RMUC,RMUC,中部赛区,A,240,Nautilus,武汉工程大学,3,3
2025,2025RMUC,RMUC,中部赛区,A,841,Ultra,成都大学,11,2
2025,2025RMUC,RMUC,中部赛区,A,683,WDR,合肥工业大学（宣城校区）,9,2
2025,2025RMUC,RMUC,中部赛区,A,32,MA,南华大学,13,1
2025,2025RMUC,RMUC,中部赛区,A,703,苍穹,合肥工业大学,10,2
2025,2025RMUC,RMUC,中部赛区,B,95,Passion,南昌大学,5,3
2025,2025RMUC,RMUC,中部赛区,B,2780,起源,华东理工大学,7,3
2025,2025RMUC,RMUC,中部赛区,B,148,交龙,上海交通大学,1,3
2025,2025RMUC,RMUC,中部赛区,B,160,Actor&Thinker,河北科技大学,12,1
2025,2025RMUC,RMUC,中部赛区,B,71,IRobot,西安电子科技大学,9,2
2025,2025RMUC,RMUC,中部赛区,B,700,VGD,长安大学,13,1
2025,2025RMUC,RMUC,中部赛区,B,151,FYT,中南大学,6,3
2025,2025RMUC,RMUC,中部赛区,B,682,RoboWalker,中国科学技术大学,3,3
2025,2025RMUC,RMUC,中部赛区,B,2789,士继DREAMER,重庆理工大学,15,0
2025,2025RMUC,RMUC,中部赛区,B,116,WMJ,西北工业大学,4,3
2025,2025RMUC,RMUC,中部赛区,B,1578,火锅,四川大学,8,3
2025,2025RMUC,RMUC,中部赛区,B,840,Helios,西南交通大学,11,2
2025,2025RMUC,RMUC,中部赛区,B,34,Artisans,安徽信息工程学院,10,2
2025,2025RMUC,RMUC,中部赛区,B,183,Born of Fire,南京航空航天大学金城学院,2,3
2025,2025RMUC,RMUC,东部赛区,A,132,追梦,北京理工大学,12,1
2025,2025RMUC,RMUC,东部赛区,A,679,606,中北大学,11,2
2025,2025RMUC,RMUC,东部赛区,A,245,3SE,东南大学,5,3
2025,2025RMUC,RMUC,东部赛区,A,57,SmartRobot,山东科技大学,1,3
2025,2025RMUC,RMUC,东部赛区,A,17,TDT,东北大学,2,3
2025,2025RMUC,RMUC,东部赛区,A,53,狼牙,华中科技大学,4,3
2025,2025RMUC,RMUC,东部赛区,A,666,TARS_Go,吉林大学,3,3
2025,2025RMUC,RMUC,东部赛区,A,239,凌BUG,大连理工大学,6,3
2025,2025RMUC,RMUC,东部赛区,A,739,齐奇,山东理工大学,14,1
2025,2025RMUC,RMUC,东部赛区,A,755,Adam,齐鲁工业大学,9,2
2025,2025RMUC,RMUC,东部赛区,A,746,SPR,中国石油大学（北京）,7,3
2025,2025RMUC,RMUC,东部赛区,B,41,HERO,哈尔滨工业大学（威海）,4,3
2025,2025RMUC,RMUC,东部赛区,B,28,CUBOT,中国矿业大学,5,3
2025,2025RMUC,RMUC,东部赛区,B,29,火线,太原工业学院,1,3
2025,2025RMUC,RMUC,东部赛区,B,672,PIE,首都师范大学,2,3
2025,2025RMUC,RMUC,东部赛区,B,782,木鸢Birdiebot,上海工程技术大学,11,2
2025,2025RMUC,RMUC,东部赛区,B,3021,Aurora,江苏大学,14,1
2025,2025RMUC,RMUC,东部赛区,B,737,未来,青岛大学,15,0
2025,2025RMUC,RMUC,东部赛区,B,141,SuperPower,同济大学,3,3
2025,2025RMUC,RMUC,东部赛区,B,4,Alliance,南京理工大学,8,3
2025,2025RMUC,RMUC,东部赛区,B,165,北洋机甲,天津大学,7,3
2025,2025RMUC,RMUC,复活赛第一赛段,A,240,Nautilus,武汉工程大学,3,2
2025,2025RMUC,RMUC,复活赛第一赛段,A,1578,火锅,四川大学,2,2
2025,2025RMUC,RMUC,复活赛第一赛段,A,53,狼牙,华中科技大学,8,0
2025,2025RMUC,RMUC,复活赛第一赛段,A,698,笃行,西安交通大学,1,3
2025,2025RMUC,RMUC,复活赛第一赛段,A,672,PIE,首都师范大学,5,1
2025,2025RMUC,RMUC,复活赛第一赛段,A,2780,起源,华东理工大学,4,2
2025,2025RMUC,RMUC,复活赛第一赛段,A,2188,GIRT,桂林信息科技学院,7,0
2025,2025RMUC,RMUC,复活赛第一赛段,B,245,3SE,东南大学,1,3
2025,2025RMUC,RMUC,复活赛第一赛段,B,165,北洋机甲,天津大学,6,1
2025,2025RMUC,RMUC,复活赛第一赛段,B,164,风暴,华北科技学院,5,1
2025,2025RMUC,RMUC,复活赛第一赛段,B,95,Passion,南昌大学,2,2
2025,2025RMUC,RMUC,复活赛第一赛段,B,239,凌BUG,大连理工大学,3,2
2025,2025RMUC,RMUC,复活赛第一赛段,B,145,TCR,厦门大学嘉庚学院,7,0
2025,2025RMUC,RMUC,复活赛第一赛段,B,1531,毅恒,北京理工大学（珠海）,8,0
2025,2025RMUC,RMUC,复活赛第一赛段,B,729,南工骁鹰,哈尔滨工业大学（深圳）,4,2
2025,2025RMUC,RMUC,复活赛第二赛段,C,1578,火锅,四川大学,5,1
2025,2025RMUC,RMUC,复活赛第二赛段,C,239,凌BUG,大连理工大学,1,3
2025,2025RMUC,RMUC,复活赛第二赛段,C,95,Passion,南昌大学,8,0
2025,2025RMUC,RMUC,复活赛第二赛段,C,240,Nautilus,武汉工程大学,2,2
2025,2025RMUC,RMUC,复活赛第二赛段,C,729,南工骁鹰,哈尔滨工业大学（深圳）,3,2
2025,2025RMUC,RMUC,复活赛第二赛段,C,133,ENTERPRIZE,香港科技大学,6,1
2025,2025RMUC,RMUC,复活赛第二赛段,C,2780,起源,华东理工大学,4,2
2025,2025RMUC,RMUC,2025赛季全国赛,A,179,华南虎,华南理工大学,5,3
2025,2025RMUC,RMUC,2025赛季全国赛,A,682,RoboWalker,中国科学技术大学,3,3
2025,2025RMUC,RMUC,2025赛季全国赛,A,116,WMJ,西北工业大学,14,1
2025,2025RMUC,RMUC,2025赛季全国赛,A,26,RobotPilots,深圳大学,8,3
2025,2025RMUC,RMUC,2025赛季全国赛,A,183,Born of Fire,南京航空航天大学金城学院,10,2
2025,2025RMUC,RMUC,2025赛季全国赛,A,3071, I Hiter,哈尔滨工业大学,4,3
2025,2025RMUC,RMUC,2025赛季全国赛,A,76,RPS,中国石油大学（华东）,1,3
2025,2025RMUC,RMUC,2025赛季全国赛,A,17,TDT,东北大学,2,3
2025,2025RMUC,RMUC,2025赛季全国赛,A,245,3SE,东南大学,7,3
2025,2025RMUC,RMUC,2025赛季全国赛,A,28,CUBOT,中国矿业大学,15,0
2025,2025RMUC,RMUC,2025赛季全国赛,A,240,Nautilus,武汉工程大学,12,1
2025,2025RMUC,RMUC,2025赛季全国赛,A,239,凌BUG,大连理工大学,6,3
2025,2025RMUC,RMUC,2025赛季全国赛,A,698,笃行,西安交通大学,9,2
2025,2025RMUC,RMUC,2025赛季全国赛,A,96,IMCA,五邑大学,13,1
2025,2025RMUC,RMUC,2025赛季全国赛,A,830,RoboBraver,电子科技大学中山学院,11,2
2025,2025RMUC,RMUC,2025赛季全国赛,B,141,SuperPower,同济大学,2,3
2025,2025RMUC,RMUC,2025赛季全国赛,B,41,HERO,哈尔滨工业大学（威海）,11,2
2025,2025RMUC,RMUC,2025赛季全国赛,B,124,Taurus,华南农业大学,8,3
2025,2025RMUC,RMUC,2025赛季全国赛,B,29,火线,太原工业学院,4,3
2025,2025RMUC,RMUC,2025赛季全国赛,B,159,ARTINX,南方科技大学,9,2
2025,2025RMUC,RMUC,2025赛季全国赛,B,195,Hello World,浙江大学,5,3
2025,2025RMUC,RMUC,2025赛季全国赛,B,148,交龙,上海交通大学,1,3
2025,2025RMUC,RMUC,2025赛季全国赛,B,42,DreamTeam,北方工业大学,14,1
2025,2025RMUC,RMUC,2025赛季全国赛,B,151,FYT,中南大学,13,1
2025,2025RMUC,RMUC,2025赛季全国赛,B,8,创梦之翼,哈尔滨工程大学,12,1
2025,2025RMUC,RMUC,2025赛季全国赛,B,746,SPR,中国石油大学（北京）,16,0
2025,2025RMUC,RMUC,2025赛季全国赛,B,114,TRoMaC,太原理工大学,7,3
2025,2025RMUC,RMUC,2025赛季全国赛,B,666,TARS_Go,吉林大学,15,0
2025,2025RMUC,RMUC,2025赛季全国赛,B,453,DynamicX,广东工业大学,3,3
2025,2025RMUC,RMUC,2025赛季全国赛,B,57,SmartRobot,山东科技大学,10,2
