season,event_code,league,zone_name,group_name,group_order,college_name,team_name,rank,w_d_l,points,total_victory_point_diff,total_team_damage,total_robot_hp_remaining
2026,2026RMUL,RMUL,安徽站,A组,1,合肥工业大学（宣城校区）,WDR,1,3/0/0,9,1193,11840,5702
2026,2026RMUL,RMUL,安徽站,B组,2,常州大学,Climber,2,1/0/1,3,51,3238,2624
2026,2026RMUL,RMUL,安徽站,C组,1,中国科学技术大学,RoboWalker,1,2/0/0,6,612,14710,2866
2026,2026RMUL,RMUL,安徽站,D组,2,香港科技大学,ENTERPRIZE,2,1/0/1,3,20,7212,2912
2026,2026RMUL,RMUL,安徽站,E组,1,中南大学,FYT,1,3/0/0,9,767,18628,3787
2026,2026RMUL,RMUL,安徽站,E组,2,武汉科技大学,崇实,2,2/0/1,6,418,5801,4132
2026,2026RMUL,RMUL,安徽站,F组,3,安徽信息工程学院,Artisans,3,0/1/1,1,-361,3065,2175
2026,2026RMUL,RMUL,安徽站,G组,1,华中科技大学,狼牙,1,1/1/0,4,205,6680,3426
2026,2026RMUL,RMUL,安徽站,H组,1,合肥工业大学,苍穹,1,1/1/0,4,522,4207,3670
2026,2026RMUL,RMUL,华南站,A组,1,广东工业大学,DynamicX,1,2/0/0,6,729,6916,3900
2026,2026RMUL,RMUL,华南站,B组,1,广州航海学院,ICBK破冰船,1,2/0/0,6,474,12036,2774
2026,2026RMUL,RMUL,华南站,B组,2,华南理工大学,华南虎,2,0/1/1,1,-140,7994,3226
2026,2026RMUL,RMUL,华南站,B组,3,北京理工大学（珠海）,毅恒,3,0/1/1,1,-334,5166,1808
2026,2026RMUL,RMUL,华南站,C组,2,哈尔滨工业大学（深圳）,南工骁鹰,2,1/1/0,4,54,6442,1708
2026,2026RMUL,RMUL,华南站,D组,1,华南农业大学,Taurus,1,2/0/0,6,735,8129,3338
2026,2026RMUL,RMUL,华南站,E组,2,南方科技大学,ARTINX,2,1/0/1,3,-42,2880,2172
2026,2026RMUL,RMUL,华南站,F组,1,广州城市理工学院,野狼,1,2/0/0,6,738,9718,3120
2026,2026RMUL,RMUL,华南站,F组,2,深圳大学,RobotPilots,2,1/0/1,3,-340,4959,1915
2026,2026RMUL,RMUL,华南站,G组,1,五邑大学,IMCA,1,2/0/0,6,786,5965,3838
2026,2026RMUL,RMUL,华南站,G组,2,深圳技术大学,悍匠,2,1/0/1,3,12,4141,2960
2026,2026RMUL,RMUL,华南站,H组,1,东莞理工学院,ACE,1,2/0/0,6,697,18958,3272
2026,2026RMUL,RMUL,华南站,H组,2,电子科技大学中山学院,RoboBraver,2,1/0/1,3,-20,7008,2796
2026,2026RMUL,RMUL,华南站,H组,3,华南师范大学,PIONEER,3,0/0/2,0,-677,1660,2810
2026,2026RMUL,RMUL,山东站,A组,1,河北科技大学,Actor&Thinker,1,2/1/0,7,455,10600,4987
2026,2026RMUL,RMUL,山东站,A组,2,山东理工大学,齐奇,2,1/2/0,5,427,12787,5112
2026,2026RMUL,RMUL,山东站,A组,3,天津大学,北洋机甲,3,1/1/1,4,239,8407,4242
2026,2026RMUL,RMUL,山东站,B组,1,太原理工大学,TRoMaC,1,2/0/0,6,780,10324,3422
2026,2026RMUL,RMUL,山东站,C组,1,中国石油大学（华东）,RPS,1,3/0/0,9,916,18532,4468
2026,2026RMUL,RMUL,山东站,D组,2,山东科技大学,SmartRobot,2,0/1/1,1,-285,4813,1684
2026,2026RMUL,RMUL,山东站,E组,1,北京理工大学,追梦,1,3/0/0,9,1100,15716,5290
2026,2026RMUL,RMUL,山东站,F组,1,哈尔滨工业大学（威海）,HERO,1,1/1/0,4,415,11536,3204
2026,2026RMUL,RMUL,山东站,F组,2,齐鲁工业大学,Adam,2,1/1/0,4,342,6168,2670
2026,2026RMUL,RMUL,山东站,G组,2,首都师范大学,PIE,2,2/0/1,6,418,8122,3754
2026,2026RMUL,RMUL,山东站,G组,3,青岛大学,未来,3,1/0/2,3,1,10134,4622
2026,2026RMUL,RMUL,重庆站,A组,1,西北工业大学,WMJ,1,3/0/0,9,1078,10464,5664
2026,2026RMUL,RMUL,重庆站,A组,2,广西大学,ROBOTZ,2,1/1/1,4,-77,6159,4279
2026,2026RMUL,RMUL,重庆站,A组,3,重庆理工大学,士继DREAMER,3,1/0/2,3,-279,5134,3299
2026,2026RMUL,RMUL,重庆站,B组,1,国防科技大学,军临,1,3/0/0,9,1182,9358,5250
2026,2026RMUL,RMUL,重庆站,B组,2,长沙理工大学,云嵌,2,2/0/1,6,267,6092,3612
2026,2026RMUL,RMUL,重庆站,C组,3,南华大学,MA,3,1/0/2,3,-212,5771,4246
2026,2026RMUL,RMUL,重庆站,D组,1,长安大学,VGD,1,1/2/0,5,-211,10297,3264
2026,2026RMUL,RMUL,重庆站,E组,1,西安电子科技大学,IRobot,1,3/0/0,9,1020,12382,5200
2026,2026RMUL,RMUL,重庆站,F组,1,西安交通大学,笃行,1,3/0/0,9,1130,33354,5526
2026,2026RMUL,RMUL,重庆站,F组,4,湘潭大学,逐曦,4,0/1/2,1,-839,4202,4336
2026,2026RMUL,RMUL,重庆站,G组,2,桂林信息科技学院,GIRT,2,1/1/1,4,54,10901,2862
2026,2026RMUL,RMUL,重庆站,H组,1,桂林电子科技大学,Evolution,1,3/0/0,9,1108,15208,5810
2026,2026RMUL,RMUL,东北站,A组,1,北方工业大学,DreamTeam,1,3/0/0,9,1109,8668,5564
2026,2026RMUL,RMUL,东北站,B组,1,东北大学,TDT,1,3/0/0,9,1180,6490,5788
2026,2026RMUL,RMUL,东北站,B组,2,华北理工大学,Horizon,2,2/0/1,6,377,7315,5910
2026,2026RMUL,RMUL,东北站,C组,1,吉林大学,TARS Go,1,3/0/0,9,1126,8697,5072
2026,2026RMUL,RMUL,东北站,D组,1,太原工业学院,火线,1,1/2/0,5,544,11848,4256
2026,2026RMUL,RMUL,东北站,D组,2,辽宁石油化工大学,TCN,2,1/2/0,5,394,7859,4658
2026,2026RMUL,RMUL,东北站,E组,1,沈阳理工大学,Ambition,1,2/1/0,7,689,10188,5590
2026,2026RMUL,RMUL,东北站,E组,3,哈尔滨工业大学,I Hiter,3,1/0/2,3,-239,7690,4462
2026,2026RMUL,RMUL,东北站,F组,2,哈尔滨工程大学,创梦之翼,2,2/0/1,6,433,15224,3974
2026,2026RMUL,RMUL,东北站,G组,1,大连理工大学,凌BUG,1,3/0/0,9,1082,12782,6510
2026,2026RMUL,RMUL,东北站,G组,2,东北大学秦皇岛分校,征龙凌沧,2,2/0/1,6,518,10459,4120
2026,2026RMUL,RMUL,江苏站,A组,1,南京理工大学,Alliance,1,3/0/0,9,1055,10158,5838
2026,2026RMUL,RMUL,江苏站,A组,3,西交利物浦大学,GMaster,3,1/0/2,3,-46,8925,4316
2026,2026RMUL,RMUL,江苏站,B组,2,中国矿业大学,CUBOT,2,2/0/1,6,420,13006,4696
2026,2026RMUL,RMUL,江苏站,B组,4,江苏大学,Aurora,4,0/1/2,1,-627,6520,4070
2026,2026RMUL,RMUL,江苏站,C组,1,江南大学霞客湾校区,SHARK,1,3/0/0,9,1185,16121,5568
2026,2026RMUL,RMUL,江苏站,C组,2,武汉大学,珞珈狐,2,2/0/1,6,291,10593,3940
2026,2026RMUL,RMUL,江苏站,C组,3,东南大学,3SE,3,1/0/2,3,-452,4154,4134
2026,2026RMUL,RMUL,江苏站,C组,4,厦门大学,RCS,4,0/0/3,0,-1024,2920,3430
2026,2026RMUL,RMUL,江苏站,D组,1,浙江大学,Hello World,1,2/0/0,6,754,9370,2962
2026,2026RMUL,RMUL,江苏站,D组,2,南京理工大学江阴校区,Combat,2,1/0/1,3,6,6549,2870
2026,2026RMUL,RMUL,江苏站,E组,1,厦门理工学院,PFA,1,2/1/0,7,783,10678,4378
2026,2026RMUL,RMUL,江苏站,E组,2,上海工程技术大学,木鸢Birdiebot,2,2/1/0,7,659,9548,4156
2026,2026RMUL,RMUL,江苏站,F组,2,南昌大学,Passion,2,2/0/1,6,134,12690,4504
2026,2026RMUL,RMUL,江苏站,G组,2,福建师范大学,PKA,2,2/1/0,7,577,9136,5924
2026,2026RMUL,RMUL,江苏站,H组,1,福建理工大学,苍侠,1,1/1/0,4,278,12312,3392
2026,2026RMUL,RMUL,华北站,A组,1,中国石油大学（北京）,SPR,1,2/1/0,7,609,8762,4666
2026,2026RMUL,RMUL,华北站,B组,1,华北科技学院,风暴,1,3/0/0,9,650,12286,3527
2026,2026RMUL,RMUL,华北站,D组,2,内蒙古科技大学,雷霆,2,2/0/1,6,614,9338,4708
2026,2026RMUL,RMUL,华北站,E组,1,太原科技大学,NewMaker,1,3/0/0,9,1018,13067,4958
2026,2026RMUL,RMUL,华北站,F组,4,北京信息科技大学,星辰,4,0/0/3,0,-865,6501,3808
2026,2026RMUL,RMUL,华北站,H组,2,中北大学,606,2,2/0/1,6,446,9704,5064
2026,2026RMUL,RMUL,上海站,A组,1,厦门大学嘉庚学院,TCR,1,1/2/0,5,383,11084,5347
2026,2026RMUL,RMUL,上海站,A组,4,杭州电子科技大学,PHOENIX,4,0/1/2,1,-748,6544,4090
2026,2026RMUL,RMUL,上海站,C组,1,上海交通大学,交龙,1,3/0/0,9,889,12178,5644
2026,2026RMUL,RMUL,上海站,D组,1,华东理工大学,起源,1,3/0/0,9,1062,22242,5836
2026,2026RMUL,RMUL,上海站,D组,2,上海大学,SRM,2,2/0/1,6,369,11843,3652
2026,2026RMUL,RMUL,上海站,E组,1,同济大学,SuperPower,1,3/0/0,9,1036,15824,5828
2026,2026RMUL,RMUL,上海站,G组,1,武汉工程大学,Nautilus,1,2/1/0,7,770,7704,5054
2026,2026RMUL,RMUL,上海站,G组,2,复旦大学,星云EGA,2,2/1/0,7,736,11667,5268
2026,2026RMUL,RMUL,上海站,H组,1,南京航空航天大学金城学院,Born of Fire,1,2/0/0,6,642,10930,3358
2026,2026RMUL,RMUL,四川站,A组,2,四川大学,火锅,2,1/1/1,4,196,7670,4010
2026,2026RMUL,RMUL,四川站,A组,3,香港科技大学（广州）,PnX,3,1/1/1,4,-125,10522,4058
2026,2026RMUL,RMUL,四川站,B组,1,桂林理工大学,群星,1,2/1/0,7,794,13380,5060
2026,2026RMUL,RMUL,四川站,C组,1,西南交通大学,Helios,1,3/0/0,9,724,11909,3751
2026,2026RMUL,RMUL,四川站,D组,1,成都信息工程大学,风信子,1,3/0/0,9,1099,8305,4830
2026,2026RMUL,RMUL,四川站,F组,2,成都大学,Ultra,2,2/1/0,7,370,14289,3792
2026,2026RMUL,RMUL,四川站,G组,2,华南师范大学（佛山校区）,VANGUARD,2,2/0/1,6,397,8456,2948
2026,2026RMUL,RMUL,四川站,G组,3,香港大学,HerKules,3,0/1/2,1,-630,5228,3086
2026,2026RMUL,RMUL,四川站,H组,1,仲恺农业工程学院,奇点,1,3/0/0,9,936,11191,5510
