rank,school_name,team_name
1,西安交通大学,笃行
2,东莞理工学院,ACE
3,华南农业大学,Taurus
4,五邑大学,IMCA
5,太原科技大学,NewMaker
6,应急管理大学,风暴
7,哈尔滨工业大学（深圳）,南工骁鹰
8,东北大学,TDT
9,西北工业大学,WMJ
10,中国石油大学（华东）,RPS
11,北京理工大学,追梦
12,华南理工大学,华南虎
13,太原工业学院,火线
14,武汉工程大学,Nautilus
15,仲恺农业工程学院,奇点
16,华东理工大学,起源
17,长安大学,VGD
18,同济大学,SuperPower
19,南京理工大学,Alliance
20,中国科学技术大学,RoboWalker
21,中南大学,FYT
22,江南大学霞客湾校区,SHARK
23,哈尔滨工业大学,I Hiter
24,沈阳理工大学,Ambition
25,深圳大学,RobotPilots
26,合肥工业大学（宣城校区）,WDR
27,广州城市理工学院,野狼
28,哈尔滨工业大学（威海）,HERO
29,华北理工大学,Horizon
30,太原理工大学,TRoMaC
31,北方工业大学,DreamTeam
32,桂林电子科技大学,Evolution
33,合肥工业大学,苍穹
34,安徽信息工程学院,Artisans
35,武汉科技大学,崇实
36,广东工业大学,DynamicX
37,电子科技大学中山学院,RoboBraver
38,首都师范大学,PIE
39,河北科技大学,Actor&Thinker
40,东南大学,3SE
41,大连理工大学,凌BUG
42,浙江大学,Hello World
43,山东理工大学,齐奇
44,香港科技大学（广州）,PnX
45,东北大学秦皇岛分校,征龙凌沧
46,上海交通大学,交龙
47,江苏大学,Aurora
48,南华大学,MA
49,复旦大学,星云EGA
50,成都信息工程大学,风信子
51,长沙理工大学,云嵌
52,哈尔滨工程大学,创梦之翼
53,山东科技大学,SmartRobot
54,国防科技大学,军临
55,杭州电子科技大学,PHOENIX
56,吉林大学,TARS Go
57,广西大学,ROBOTZ
58,桂林理工大学,群星
59,深圳技术大学,悍匠
60,广州航海学院,ICBK破冰船
61,中北大学,606
62,南昌大学,Passion
63,天津大学,北洋机甲
64,上海大学,SRM
65,成都大学,Ultra
66,齐鲁工业大学,Adam
67,西安电子科技大学,IRobot
68,桂林信息科技学院,GIRT
69,上海工程技术大学,木鸢Birdiebot
70,厦门大学,RCS
71,湘潭大学,逐曦
72,香港科技大学,ENTERPRIZE
73,四川大学,火锅
74,厦门大学嘉庚学院,TCR
75,青岛大学,未来
76,中国石油大学（北京）,SPR
77,南京航空航天大学金城学院,Born of Fire
78,华中科技大学,狼牙
79,西交利物浦大学,GMaster
80,内蒙古科技大学,雷霆
81,华南师范大学,PIONEER
82,辽宁石油化工大学,TCN
83,南京理工大学江阴校区,Combat
84,西南交通大学,Helios
85,中国矿业大学,CUBOT
86,香港大学,HerKules
87,厦门理工学院,PFA
88,福建师范大学,PKA
89,华南师范大学（佛山校区）,VANGUARD
90,重庆理工大学,士继DREAMER
91,北京理工大学（珠海）,毅恒
92,常州大学,Climber
93,北京信息科技大学,星辰
94,南方科技大学,ARTINX
95,武汉大学,珞珈狐
96,福建理工大学,苍侠
